testSeq,testFORM,AccNum
60,2013_2,PTE1522
62,2015_1,PTE1522
68,2012_2,PTE1526
60,2013_3,PTE1526
61,2013_2,PTE1528
62,2015_2,PTE1528
62,2013_2,PTE1534
204,2015_2,PTE1534
66,2012_3,PTE1535
65,2014_1,PTE1535
63,2013_1,PTE1539
63,2015_1,PTE1539
201,2013_1,PTE154
228,2015_1,PTE154
67,2012_3,PTE1541
69,2014_2,PTE1541
70,2012_2,PTE1542
204,2015_1,PTE1542
66,2012_1,PTE1545
68,2014_1,PTE1545
67,2012_1,PTE1549
69,2014_1,PTE1549
107,2013_2,PTE155
108,2015_3,PTE155
68,2012_1,PTE1550
72,2014_2,PTE1550
61,2013_3,PTE1551
64,2015_1,PTE1551
63,2013_3,PTE1552
63,2015_2,PTE1552
64,2013_3,PTE1562
67,2015_3,PTE1562
65,2013_1,PTE1563
68,2015_3,PTE1563
72,2012_2,PTE1564
74,2014_2,PTE1564
73,2012_2,PTE1566
75,2014_2,PTE1566
63,2013_2,PTE1568
66,2015_1,PTE1568
71,2012_1,PTE1573
76,2014_2,PTE1573
108,2013_3,PTE158
106,2015_1,PTE158
72,2012_1,PTE1585
74,2014_1,PTE1585
70,2012_3,PTE1586
205,2015_1,PTE1586
216,2012_3,PTE159
206,2013_1,PTE159
217,2012_3,PTE160
227,2015_2,PTE160
67,2013_3,PTE1600
68,2015_1,PTE1600
73,2012_3,PTE1602
72,2015_3,PTE1602
74,2012_1,PTE1604
73,2014_3,PTE1604
65,2013_2,PTE1605
73,2015_3,PTE1605
70,2013_3,PTE1608
69,2015_1,PTE1608
214,2012_2,PTE161
232,2015_1,PTE161
76,2012_3,PTE1614
77,2014_3,PTE1614
67,2013_2,PTE1615
75,2015_3,PTE1615
68,2013_2,PTE1616
69,2015_2,PTE1616
75,2012_1,PTE1619
70,2015_1,PTE1619
69,2013_2,PTE1620
70,2015_2,PTE1620
90,2013_1,PTE1626
88,2015_3,PTE1626
94,2012_1,PTE1628
92,2014_2,PTE1628
93,2012_3,PTE1629
94,2014_3,PTE1629
98,2013_1,PTE1634
99,2015_3,PTE1634
96,2012_3,PTE1635
92,2015_1,PTE1635
97,2012_3,PTE1636
99,2014_3,PTE1636
99,2013_1,PTE1638
96,2015_2,PTE1638
222,2012_1,PTE164
209,2013_1,PTE164
238,2015_3,PTE164
98,2012_1,PTE1642
98,2014_2,PTE1642
98,2013_2,PTE1644
100,2015_3,PTE1644
100,2013_1,PTE1646
101,2015_3,PTE1646
101,2013_1,PTE1647
98,2015_2,PTE1647
100,2013_2,PTE1648
99,2015_2,PTE1648
210,2013_1,PTE165
233,2015_1,PTE165
99,2012_3,PTE1652
99,2014_2,PTE1652
100,2013_3,PTE1653
102,2015_3,PTE1653
99,2012_1,PTE1655
100,2014_2,PTE1655
200,2013_1,PTE1657
227,2015_1,PTE1657
96,2012_2,PTE1658
101,2014_3,PTE1658
103,2013_1,PTE1661
100,2015_2,PTE1661
102,2013_2,PTE1664
101,2015_2,PTE1664
101,2012_1,PTE1666
102,2014_2,PTE1666
101,2012_3,PTE1670
103,2014_3,PTE1670
105,2013_1,PTE1671
95,2015_1,PTE1671
103,2012_1,PTE1675
97,2015_1,PTE1675
104,2012_1,PTE1678
98,2015_1,PTE1678
99,2012_2,PTE1680
103,2014_2,PTE1680
207,2013_3,PTE1688
233,2015_3,PTE1688
212,2013_3,PTE169
230,2015_2,PTE169
104,2012_2,PTE1690
105,2014_2,PTE1690
206,2012_2,PTE1696
202,2013_1,PTE1696
105,2012_3,PTE1698
105,2014_3,PTE1698
107,2012_1,PTE1699
106,2014_2,PTE1699
107,2013_3,PTE1700
106,2015_2,PTE1700
204,2013_1,PTE1702
229,2015_1,PTE1702
181,2012_3,PTE1709
183,2013_3,PTE1709
84,2012_3,PTE1711
82,2014_1,PTE1711
85,2012_1,PTE1714
85,2014_3,PTE1714
86,2012_3,PTE1716
86,2014_3,PTE1716
87,2012_3,PTE1722
86,2014_2,PTE1722
88,2012_1,PTE1724
87,2014_3,PTE1724
80,2013_1,PTE1726
85,2015_1,PTE1726
81,2013_3,PTE1727
83,2015_3,PTE1727
87,2012_2,PTE1731
82,2013_3,PTE1731
82,2015_2,PTE1731
83,2013_2,PTE1732
86,2014_1,PTE1732
85,2013_2,PTE1740
83,2015_2,PTE1740
82,2013_1,PTE1742
85,2015_2,PTE1742
218,2012_2,PTE1763
213,2013_2,PTE1763
175,2012_1,PTE1783
173,2014_1,PTE1783
226,2012_2,PTE1785
223,2013_1,PTE1785
229,2012_3,PTE1786
224,2013_1,PTE1786
232,2012_3,PTE1787
230,2013_1,PTE1787
235,2012_3,PTE1788
235,2013_1,PTE1788
235,2012_2,PTE1789
225,2013_2,PTE1789
185,2012_1,PTE1791
182,2013_1,PTE1791
208,2015_1,PTE1791
225,2012_3,PTE1792
218,2013_1,PTE1792
186,2012_1,PTE1794
214,2015_3,PTE1794
236,2012_2,PTE1795
224,2013_3,PTE1795
184,2012_3,PTE1797
184,2013_3,PTE1797
210,2015_1,PTE1797
185,2012_3,PTE1798
185,2013_3,PTE1798
211,2015_1,PTE1798
186,2012_3,PTE1801
215,2015_3,PTE1801
189,2012_1,PTE1802
183,2013_1,PTE1802
187,2012_3,PTE1803
178,2013_2,PTE1803
212,2015_1,PTE1803
190,2012_1,PTE1804
217,2015_3,PTE1804
191,2012_1,PTE1807
179,2013_2,PTE1807
190,2012_2,PTE1808
187,2013_3,PTE1808
189,2012_3,PTE1809
185,2013_1,PTE1809
218,2015_3,PTE1809
192,2012_1,PTE1810
180,2013_2,PTE1810
213,2015_1,PTE1810
191,2012_2,PTE1811
186,2013_1,PTE1811
219,2015_3,PTE1811
193,2012_1,PTE1813
188,2013_1,PTE1813
220,2015_3,PTE1813
194,2012_1,PTE1816
221,2015_3,PTE1816
192,2012_3,PTE1818
215,2015_1,PTE1818
193,2012_2,PTE1820
189,2013_1,PTE1820
222,2015_3,PTE1820
200,2012_1,PTE1832
217,2015_1,PTE1832
199,2012_3,PTE1833
181,2013_2,PTE1833
201,2012_1,PTE1834
191,2013_1,PTE1834
195,2012_2,PTE1835
182,2013_2,PTE1835
202,2012_3,PTE1842
220,2015_1,PTE1842
204,2012_1,PTE1843
193,2013_1,PTE1843
197,2012_2,PTE1844
190,2013_3,PTE1844
203,2012_3,PTE1845
183,2013_2,PTE1845
205,2012_1,PTE1846
191,2013_3,PTE1846
207,2012_1,PTE1850
194,2013_1,PTE1850
